Id tin,Tiêu đề tin,Địa điểm tuyển dụng,Tỉnh thành tuyển dụng,Chức vụ,Mức lương,Hình thức làm việc,Ngành nghề,Lĩnh vực,Kinh nghiệm
780759,Nhân viên chăm sóc khách hàng,280A4 Lương Định Của An phú Quận 2,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Chăm sóc khách hàng,nhân viên chăm sóc khách hàng,Không yêu cầu
780758,Giám sát tiệc kiêm quản lý chuỗi kiot cho thuê,Số 03 Đặng Văn Sâm P9 Quận Phú Nhuận TPHCM,Hồ Chí Minh,Nhân viên,Thỏa thuận,Toàn thời gian cố định,Khách sạn - Nhà hàng,nhân viên quản lý nhà hàng,1 - 2 năm kinh nghiệm
780757,NHÂN VIÊN VĂN PHÒNG,35 Chùa Láng,Hà Nội,Mới Tốt Nghiệp,5 - 7 triệu,Toàn thời gian cố định,Hành chính - Văn phòng,nhân viên văn phòng,Không yêu cầu
780756,Việc làm uy tín theo giờ thêm buổi tối lương 7-9 triệu một tháng chỉ 2-3 giờ một ngày làm việc tại nhà,Quận Hai Thành Phố Hồ Chí Minh,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Bán thời gian,"Nhập liệu, Y tế - Dược, Phục vụ - Tạp vụ",tạp vụ nhà hàng,Không yêu cầu
780755,Chỉ huy trưởng,"62 đường số 13, khu TTHC Dĩ An, KP Nhị Đồng 2, Dĩ An, Bình Dương",Hồ Chí Minh,Trưởng nhóm,Thỏa thuận,Toàn thời gian cố định,Giao thông vận tải - Thủy lợi - Cầu đường,chỉ huy trưởng công trình giao thông,5 - 10 năm kinh nghiệm
780754,Cộng tác viên Kinh doanh,Số 8 Ngõ 72 Dương Khuê,Hà Nội,Thực tập sinh,3 - 5 triệu,Bán thời gian,"Hoạch định - Dự án, Quản trị kinh doanh, Nhân viên kinh doanh",nhân viên phát triển kinh doanh,Không yêu cầu
780753,Việc làm thêm uy tín lương nhận theo tuần 7-9 triệu một tháng 2-3 giờ 1ngày làm việc tại nhà,Huyện Mộc Hoá Long An,Long An,Nhân viên,7 - 10 triệu,Bán thời gian,"Cơ khí - Chế tạo, Ngành nghề khác, Sinh viên làm thêm",sinh viên làm thêm buổi tối,Không yêu cầu
780752,Nhân viên Thiết kế - Designer,"Căn hộ TT01-23 khu đô thị Moncity, Hàm Nghi, Mỹ Đình, Nam Từ Liêm, Hà Nội",Hà Nội,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Thiết kế - Mỹ thuật, Thiết kế web, Marketing - PR",designer,1 - 2 năm kinh nghiệm
780751,Receptionist Cum Admin in District 1,Ben Nghe Quận 1,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Hành chính - Văn phòng,chuyên viên hành chính,0 - 1 năm kinh nghiệm
780750,Nhân viên chăm sóc khách hàng - không bán hàng,Tầng 3A tòa nhà Coteccons 236/6 Điện Biên Phủ,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Chăm sóc khách hàng,nhân viên chăm sóc khách hàng online,Không yêu cầu
780748,NHÂN VIÊN DESIGNER SHOPPE,100 Hoàng Hoa Thám Phường 12 quận Tân Bình,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Thiết kế web,Ui Ux Designer,1 - 2 năm kinh nghiệm
780747,NHÂN VIÊN CONTENT,"Phòng 609, chung cư Handico 30 tòa A3 đường Lý Tự Trọng, TP Vinh, Nghệ An",Nghệ An,Nhân viên,5 - 7 triệu,Toàn thời gian cố định,Copywriter,nhân viên copywriter,1 - 2 năm kinh nghiệm
780746,NHÂN VIÊN MUA CƯỚC VẬN TẢI BIỂN,148 Hoàng Quốc Việt,Hà Nội,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Xuất - nhập khẩu, Logistic, Giao thông vận tải - Thủy lợi - Cầu đường",nhân viên logistics,1 - 2 năm kinh nghiệm
780745,Trưởng Phòng Kinh Doanh - CN Bình Thạnh Bình Tân TPHCM,Khu Tên Lửa Vành Đai Trong,Hồ Chí Minh,Trưởng Phòng,10 - 15 triệu,Toàn thời gian cố định,"KD bất động sản, Nhân viên kinh doanh, Quản lý đơn hàng",chuyên viên tư vấn bất động sản,1 - 2 năm kinh nghiệm
780744,Trưởng phòng kỹ thuật,ngõ 181 Xuân Thủy,Hà Nội,Trưởng Phòng,15 - 20 triệu,Toàn thời gian cố định,"Cơ khí - Chế tạo, Điện - Điện tử, Điện tử viễn thông",kỹ sư qs cơ điện,5 - 10 năm kinh nghiệm
780742,GIÁM ĐỐC DỰ ÁN,"TẦNG 6 TÒA 25T2 HOÀNG ĐẠO THÚY,TRUNG HÒA,CẦU GIẤY,HÀ NỘI",Hà Nội,Giám Đốc,Trên 30 triệu,Toàn thời gian cố định,Quản lý điều hành,Quản Lý Giám Sát,Hơn 10 năm kinh nghiệm
780740,Nhân viên kinh doanh,127 đường B Trưng Trắc Khu Phố 7 Hiệp Bình Chánh Hồ Chí Minh,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Nhân viên kinh doanh, Việc làm bán hàng, Tiếp thị - Quảng cáo",nhân viên kinh doanh thực phẩm,0 - 1 năm kinh nghiệm
780739,Thực tập sinh Kinh doanh Uỷ Thác Xuất nhập khẩu,"Tầng 6 khu Officetel, Tòa nhà River Gate, số 151-155 Bến Vân Đồn, Phường 06, Quận 4, Thành phố Hồ Chí Minh, Việt Nam.",Hồ Chí Minh,Thực tập sinh,3 - 5 triệu,Toàn thời gian cố định,"Xuất - nhập khẩu, Logistic, Nhân viên kinh doanh",thực tập sinh xuất nhập khẩu,Không yêu cầu
780737,Thực tập sinh kiến trúc sư,Số 30 BT 4-3 Khu đô thị Vinaconex 3,Hà Nội,Thực tập sinh,Thỏa thuận,Toàn thời gian tạm thời,Kiến trúc - Tk nội thất,thiết kế nội thất không cần kinh nghiệm,Không yêu cầu
780735,Nhân viên Graphic Designer,"118/127a/28 phan huy ích, p.15, Quận Tân Bình, HCM",Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Thiết kế - Mỹ thuật, Kiến trúc - Tk nội thất, Khách sạn - Nhà hàng",thiết kế đồ họa,0 - 1 năm kinh nghiệm
780734,TRỢ LÝ TUYỂN DỤNG,"369 Nguyễn Trãi, phường Nguyễn Cư Trinh",Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Nhân sự, Thư ký - Trợ lý, Hành chính - Văn phòng",nhân viên tuyển dụng,0 - 1 năm kinh nghiệm
780733,Tuyển Nhân lương 7-9tr tháng Viên làm thêm 2-3 giờ 1 ngày Tuyển nhân viên làm thêm mức nhận theo tuần,Quận Tân Bình Thành Phố Hồ Chí Minh,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Bán thời gian,"Sinh viên làm thêm, Y tế - Dược, Đầu bếp - phụ bếp",Bếp,Không yêu cầu
780732,Promotion Coordinator - Điều Phối Tiếp Thị (Sp Team Leader) Cho Nhãn Hàng Bia Heineken,"Tầng 15 Tòa nhà Peakview, Số 36 Hoàng Cầu, Đống Đa, Hà Nội",Hà Nội,Trưởng nhóm,7 - 10 triệu,Toàn thời gian cố định,"Lễ tân - PG - PB, Việc làm bán hàng, Thực phẩm - Đồ uống",pg leader,0 - 1 năm kinh nghiệm
780731,NHÂN VIÊN KINH DOANH THỊ TRƯỜNG VÀ DỰ ÁN,469 Hoàng Quốc Việt,Hà Nội,Nhân viên,15 - 20 triệu,Toàn thời gian cố định,"Dịch vụ, Nhân viên kinh doanh, Việc làm bán hàng",nhân viên bán hàng lương cao,1 - 2 năm kinh nghiệm
780730,Nhân viên văn phòng chuyên tư vấn,280A4 Lương Định Của An phú Quận 2,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,KD bất động sản,Nhân Viên Kinh Doanh Nhà Đất,Không yêu cầu
780729,KỸ THUẬT LẮP ĐẶT NỘI THẤT,"Số 1, Nghĩa Tân",Hà Nội,Nhân viên,5 - 7 triệu,Toàn thời gian cố định,Kỹ thuật,chuyên viên kỹ thuật,1 - 2 năm kinh nghiệm
780728,Nhân viên Marketing,356 Nguyễn Văn Linh phường BìnhThuận quận 7 TPHCM,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Xây dựng, Marketing - PR",social media executive,1 - 2 năm kinh nghiệm
780727,Công việc làm thêm theo giờ 2-3 giờ một ngày lương 7-9 triệu một tháng được ưu tiên nhiều chế độ,Thành Phố Tân An Long An,Long An,Nhân viên,10 - 15 triệu,Bán thời gian,"Khu chế xuất - Khu công nghiệp, Khách sạn - Nhà hàng, Sinh viên làm thêm",part time khách sạn,Không yêu cầu
780726,KẾ TOÁN KHO - PHÒNG MUA,"Số 1, Nghĩa Tân",Hà Nội,Nhân viên,3 - 5 triệu,Toàn thời gian cố định,Kế toán - Kiểm toán,kế toán kho,1 - 2 năm kinh nghiệm
780724,TUYỂN DỤNG CỬA HÀNG TRƯỞNG,100 Bùi Hữu Nghĩa Phường 7 Quận 5,Hồ Chí Minh,Trưởng Phòng,5 - 7 triệu,Toàn thời gian cố định,Thực phẩm - Đồ uống,quản lý chất lượng thực phẩm,0 - 1 năm kinh nghiệm
780723,NHÂN VIÊN DỰ TOÁN M E (THU NHẬP 8 - 15 TRIỆU THÁNG),102 Trần Phú Hà Đông Hà Nội,Hà Nội,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Điện - Điện tử, Xây dựng",Kỹ Sư Dự Toán,2 - 5 năm kinh nghiệm
780722,Nhân Viên Kỹ thuật 3D,"351/38 Lê Văn Sỹ, Phường 13, Quận 3",Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Báo chí - Truyền hình, Tiếp thị - Quảng cáo",chuyên viên quảng cáo,1 - 2 năm kinh nghiệm
