product_id,title,authors,category,pages,manufacturer
198414891,Hồ Sơ Tâm Lý Học Tâm Thần Hay Kẻ Điên,Mục Qua,Kiến Thức Bách Khoa,440,Nhà Xuất Bản Thanh Niên
168283405,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),Song Hong Bing,"Sách tài chính, tiền tệ",532,Nhà Xuất Bản Lao Động
57762732,Nhà Đầu Tư Thông Minh (Tái Bản 2020),Benjamin Graham,Sách kỹ năng làm việc,644,Nhà Xuất Bản Thế Giới
57325187,Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),GEORGE SAMUEL CLASON,Bài học kinh doanh,216,Nhà Xuất Bản Tổng hợp TP.HCM
196932335,Đi khi ta còn trẻ,Trương Anh Ngọc,Tiểu sử - Hồi ký,236,Nhà Xuất Bản Thế Giới
94159129,Franken-Stein Ở Baghdad,Ahmed Saadawi,Tiểu Thuyết,356,Nhà Xuất Bản Hội Nhà Văn
69764534,Thợ Xăm Ở Auschwitz,Heather Morris,Tiểu Thuyết,384,Nhà Xuất Bản Văn Học
111285062,Đắc Nhân Tâm (Bìa Mềm)(Tái Bản),Dale Carnegie,Sách nghệ thuật sống đẹp,320,Nhà Xuất Bản Tổng hợp TP.HCM
86517373,Khoa Học Về Nấu Ăn - The Science Of Cooking,Stuart Farrimond,Sách Nấu ăn,258,Nhà Xuất Bản Thế Giới
205942260,Chuyện Đi Làm Hết Lòng,Na Lê,Sách nghệ thuật sống đẹp,444,Nhà Xuất Bản Dân Trí
179546070,Luật Hấp Dẫn - Quy Luật Về Sức Mạnh Của Linh Hồn Và Năng Lượng Chữa Lành Cơ Thể Từ Bên Trong,Prentice Mulford,Sách tư duy - Kỹ năng sống,264,Nhà Xuất Bản Thanh Niên
200780130,Người bà tài giỏi vùng Saga – Tập 9,Yoshichi Shimada,Người bà tài giỏi vùng Saga – Tập 9,194,Nhà Xuất Bản Phụ Nữ
53720978,"Trong Cái Không Có  Gì Không ? (Thiền Sư Thích Nhất Hạnh Trả Lời Cho Trẻ Em Những Thắc Mắc Về Ý Nghĩa Cuộc Sống, Về Cái Chết, Về Gia Đình, Bạn Bè Và Nhiều Câu Hỏi Khác)",Thích Nhất Hạnh,Sách nghệ thuật sống đẹp,72,Nhà Xuất Bản Kim Đồng
3608625,Payback Time - Ngày Đòi Nợ,Phil Town,Bài học kinh doanh,280,Nhà Xuất Bản Thế Giới
73633330,"Think And Grow Rich - 13 Nguyên Tắc Nghĩ Giàu, Làm Giàu (Tái Bản)",Napoleon Hill,Sách kỹ năng làm việc,399,Nhà Xuất Bản Lao Động
148760924,How Management Works - Hiểu Hết Về Quản Lý,DK,"Sách quản trị, lãnh đạo",244,Nhà Xuất Bản Thế Giới
35283863,Lược Sử Thế Giới,E.H. Gombrich,Lịch Sử Thế Giới,426,Nhà Xuất Bản Thế Giới
74341297,Không Sợ Chậm Chỉ Sợ Dừng,Vãn Tình,Sách nghệ thuật sống đẹp,364,Nhà Xuất Bản Thế Giới
161008717,Kiếp Nào Ta Cũng Tìm Thấy Nhau: Câu Chuyện Về Những Linh Hồn Tri Kỷ Vĩnh Viễn Không Chia Lìa (Tái Bản),Brian L Weiss,Kiếp Nào Ta Cũng Tìm Thấy Nhau: Câu Chuyện Về Những Linh Hồn Tri Kỷ Vĩnh Viễn Không Chia Lìa (Tái Bản),292,Nhà Xuất Bản Lao Động
49459956,Chủ Nghĩa Khắc Kỷ - Phong Cách Sống Bản Lĩnh Và Bình Thản,William B. Irvine,Kiến Thức Bách Khoa,370,Nhà Xuất Bản Công Thương
76013378,Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu),Cole Nussbaumer Knaflic,Sách kỹ năng làm việc,280,Nhà Xuất Bản Thế Giới
77774625,"Nghệ Thuật Tập Trung - Nâng Cao Năng Suất, Tối Ưu Thời Gian, Hiệu Quả Bất Ngờ",Nhà tâm thần học DaiGo,Sách tư duy - Kỹ năng sống,208,Nhà Xuất Bản Thế Giới
75307228,OSHO - Yêu - Being In Love,Osho,Sách nghệ thuật sống đẹp,350,Nhà Xuất Bản Văn Hóa - Văn Nghệ TP.HCM
